Prompt,Image Path,Quality
A gothic cathedral illuminated by moonlight.,generated_images\image_1.png,8
A crystal-clear river running through a tropical jungle.,generated_images\image_2.png,6
A futuristic city with glowing skyscrapers surrounded by greenery.,generated_images\image_3.png,7
A gothic cathedral illuminated by moonlight.,generated_images\image_1.png,9
A crystal-clear river running through a tropical jungle.,generated_images\image_2.png,7
A futuristic city with glowing skyscrapers surrounded by greenery.,generated_images\image_3.png,8
A gothic cathedral illuminated by moonlight.,generated_images\image_1.png,100
A crystal-clear river running through a tropical jungle.,generated_images\image_2.png,9
A futuristic city with glowing skyscrapers surrounded by greenery.,generated_images\image_3.png,7
A gothic cathedral illuminated by moonlight.,generated_images\image_1.png,8
A crystal-clear river running through a tropical jungle.,generated_images\image_2.png,4
